Time_index,Time,Strain
20100203040000,2010-02-03 04:00:00,-15
20100204040000,2010-02-04 04:00:00,-11
20100205040000,2010-02-05 04:00:00,-15
20100206040000,2010-02-06 04:00:00,-12
20100207040000,2010-02-07 04:00:00,-12
20100208040000,2010-02-08 04:00:00,-12
20100209040000,2010-02-09 04:00:00,-4
20100210040000,2010-02-10 04:00:00,-13
20100211040000,2010-02-11 04:00:00,-44
20100212040000,2010-02-12 04:00:00,-20
20100213040000,2010-02-13 04:00:00,-17
20100214040000,2010-02-14 04:00:00,-9
20100215040000,2010-02-15 04:00:00,-5
20100216040000,2010-02-16 04:00:00,-20
20100217040000,2010-02-17 04:00:00,-5
20100218040000,2010-02-18 04:00:00,-6
20100219040000,2010-02-19 04:00:00,-7
20100220040000,2010-02-20 04:00:00,-9
20100221040000,2010-02-21 04:00:00,-30
20100222040000,2010-02-22 04:00:00,-32.0
20100223040000,2010-02-23 04:00:00,-16
20100224040000,2010-02-24 04:00:00,-12
20100225040000,2010-02-25 04:00:00,
20100226040000,2010-02-26 04:00:00,-10
20100227040000,2010-02-27 04:00:00,8
20100228040000,2010-02-28 04:00:00,1
20100301040000,2010-03-01 04:00:00,9
20100302040000,2010-03-02 04:00:00,-16
20100303040000,2010-03-03 04:00:00,-20
20100304040000,2010-03-04 04:00:00,-43
20100305040000,2010-03-05 04:00:00,
20100306040000,2010-03-06 04:00:00,-41
20100307040000,2010-03-07 04:00:00,-30
20100308040000,2010-03-08 04:00:00,-9
20100309040000,2010-03-09 04:00:00,-7
20100310040000,2010-03-10 04:00:00,-17
20100311040000,2010-03-11 04:00:00,-13
20100312040000,2010-03-12 04:00:00,-7
20100313040000,2010-03-13 04:00:00,-31
20100314040000,2010-03-14 04:00:00,-32
20100315040000,2010-03-15 04:00:00,-18
20100316040000,2010-03-16 04:00:00,-25
20100317040000,2010-03-17 04:00:00,-11
20100318040000,2010-03-18 04:00:00,-9
20100319040000,2010-03-19 04:00:00,-4
20100320040000,2010-03-20 04:00:00,-2
20100321040000,2010-03-21 04:00:00,-5
20100322040000,2010-03-22 04:00:00,-17
20100323040000,2010-03-23 04:00:00,-3
20100324040000,2010-03-24 04:00:00,-6
20100325040000,2010-03-25 04:00:00,6
20100326040000,2010-03-26 04:00:00,11
20100327040000,2010-03-27 04:00:00,6
20100328040000,2010-03-28 04:00:00,-6
20100329040000,2010-03-29 04:00:00,-3
20100330040000,2010-03-30 04:00:00,1
20100331040000,2010-03-31 04:00:00,-2
20100401040000,2010-04-01 04:00:00,-1
20100402040000,2010-04-02 04:00:00,3
20100403040000,2010-04-03 04:00:00,2
20100404040000,2010-04-04 04:00:00,5
20100405040000,2010-04-05 04:00:00,-2
20100406040000,2010-04-06 04:00:00,-1
20100407040000,2010-04-07 04:00:00,-4
20100408040000,2010-04-08 04:00:00,-4
20100409040000,2010-04-09 04:00:00,2
20100410040000,2010-04-10 04:00:00,-9
20100411040000,2010-04-11 04:00:00,-20
20100412040000,2010-04-12 04:00:00,-16
20100413040000,2010-04-13 04:00:00,-21
20100414040000,2010-04-14 04:00:00,-18
20100415040000,2010-04-15 04:00:00,-29
20100416040000,2010-04-16 04:00:00,5
20100417040000,2010-04-17 04:00:00,-1
20100418040000,2010-04-18 04:00:00,0
20100419040000,2010-04-19 04:00:00,-6
20100420040000,2010-04-20 04:00:00,-15
20100421040000,2010-04-21 04:00:00,-29
20100422040000,2010-04-22 04:00:00,-14
20100423040000,2010-04-23 04:00:00,-7
20100424040000,2010-04-24 04:00:00,15
20100425040000,2010-04-25 04:00:00,-12
20100426040000,2010-04-26 04:00:00,2
20100427040000,2010-04-27 04:00:00,10
20100428040000,2010-04-28 04:00:00,-9
20100429040000,2010-04-29 04:00:00,6
20100430040000,2010-04-30 04:00:00,15
20100501040000,2010-05-01 04:00:00,12
20100502040000,2010-05-02 04:00:00,-24
20100503040000,2010-05-03 04:00:00,-23
20100504040000,2010-05-04 04:00:00,-2
20100505040000,2010-05-05 04:00:00,-32
20100506040000,2010-05-06 04:00:00,-19
20100507040000,2010-05-07 04:00:00,23
20100508040000,2010-05-08 04:00:00,-9
20100509040000,2010-05-09 04:00:00,-22
20100510040000,2010-05-10 04:00:00,3
20100511040000,2010-05-11 04:00:00,-11
20100512040000,2010-05-12 04:00:00,-37
20100513040000,2010-05-13 04:00:00,-9
20100514040000,2010-05-14 04:00:00,-3
20100515040000,2010-05-15 04:00:00,-9
20100516040000,2010-05-16 04:00:00,11
20100517040000,2010-05-17 04:00:00,-7
20100518040000,2010-05-18 04:00:00,-11
20100519040000,2010-05-19 04:00:00,6
20100520040000,2010-05-20 04:00:00,23
20100521040000,2010-05-21 04:00:00,5
20100522040000,2010-05-22 04:00:00,6
20100523040000,2010-05-23 04:00:00,17
20100524040000,2010-05-24 04:00:00,8
20100525040000,2010-05-25 04:00:00,13
20100526040000,2010-05-26 04:00:00,3
20100527040000,2010-05-27 04:00:00,-10
20100528040000,2010-05-28 04:00:00,-11
20100529040000,2010-05-29 04:00:00,16
20100530040000,2010-05-30 04:00:00,19
20100531040000,2010-05-31 04:00:00,
20100601040000,2010-06-01 04:00:00,3
20100602040000,2010-06-02 04:00:00,15
20100603040000,2010-06-03 04:00:00,38
20100604040000,2010-06-04 04:00:00,-3
20100605040000,2010-06-05 04:00:00,2
20100606040000,2010-06-06 04:00:00,18
20100607040000,2010-06-07 04:00:00,13
20100608040000,2010-06-08 04:00:00,12
20100609040000,2010-06-09 04:00:00,15
20100610040000,2010-06-10 04:00:00,17
20100611040000,2010-06-11 04:00:00,12
20100612040000,2010-06-12 04:00:00,26
20100613040000,2010-06-13 04:00:00,17
20100614040000,2010-06-14 04:00:00,23
20100615040000,2010-06-15 04:00:00,4
20100616040000,2010-06-16 04:00:00,-4
20100617040000,2010-06-17 04:00:00,10
20100618040000,2010-06-18 04:00:00,20
